Abstract #,Paper title,Authors,Presentation date,Presentation time,Actual time,Session name,Session chair,Room number,Award (hon mention or best paper)
914,Growing Wikipedia Across Languages via Recommendation,"Ellery Wulczyn, Robert West, Leila Zia and Jure Leskovec.",Friday,,11:45-12:07,Track 22: Behaviour Analysis & Personalization (3),,,
380,Using Shortlists to Support Decision making and Improve Recommender System Performance,"Tobias Schnabel, Paul Bennett, Susan Dumais and Thorsten Joachims.",Friday,,12:07-12:30,Track 22: Behaviour Analysis & Personalization (3),,,
296,Tell Me About Yourself: The Malicious CAPTCHA Attack,Nethanel Gelernter and Amir Herzberg.,Friday,11:00 - 12:30,11:00-11:22,Track 23: Security & Privacy (3),,,
577,Remedying Web Hijacking: Notification Effectiveness and Webmaster Comprehension,"Frank Li, Grant Ho, Eric Kuan, Yuan Niu, Lucas Ballard, Kurt Thomas, Elie Bursztein and Vern Paxson.",Friday,,11:22-11:45,Track 23: Security & Privacy (3),,,
203,No Honor Among Thieves: A Large-Scale Analysis of Malicious Web Shells,"Oleksii Starov, Johannes Dahse, Syed Sharique Ahmad, Thorsten Holz and Nick Nikiforakis.",Friday,,11:45-12:07,Track 23: Security & Privacy (3),,,
295,Stress Testing the Booters: Understanding and Undermining the Business of DDoS Services,"Mohammad Karami, Youngsam Park and Damon Mccoy.",Friday,,12:07-12:30,Track 23: Security & Privacy (3),,,
139,N-gram over Context,Noriaki Kawamae.,Friday,11:00 - 12:30,11:00-11:22,Track 24: Content Analysis (3),,,
1041,Representing Documents via Latent Keyphrase Inference,"Jialu Liu, Xiang Ren, Jingbo Shang, Taylor Cassidy, Clare Voss and Jiawei Han. ",Friday,,11:22-11:45,Track 24: Content Analysis (3),,,
72,"Unsupervised, Efficient and Semantic Expertise Retriev","Christophe Van Gysel, Maarten de Rijke and Marcel Worring. ",Friday,,11:45-12:07,Track 24: Content Analysis (3),,,
188,Using Metafeatures to increase the Effectiveness of Latent Semantic Models in Web Search,"Alexey Borisov, Pavel Serdyukov and Maarten de Rijke. ",Friday,,12:07-12:30,Track 24: Content Analysis (3),,,
889,A Field Guide to Personalized Reserve Prices,"Renato Paes Leme, Martin Pal and Sergei Vassilvitskii. ",Friday,11:00 - 12:30,11:00-11:22,Track 25: Economics & Markets (2),,,
169,People and Cookies: Imperfect Treatment Assignment in Online Experiments,Dominic Coey and Michael Bailey.,Friday,,11:22-11:45,Track 25: Economics & Markets (2),,,
639,Objective Variables for Probabilistic Revenue Maximization in Second-Price Auctions with Reserve,"Maja Rudolph, Joseph Ellis and David Blei.",Friday,,11:45-12:07,Track 25: Economics & Markets (2),,,
598,Competition on Price and Quality in Cloud Computing,Cinar Kilcioglu and Justin Rao.,Friday,,12:07-12:30,Track 25: Economics & Markets (2),,,
477,The Marriage of Incremental and Approximate Computing,"Dhanya R Krishnan, Do Le Quoc, Pramod Bhatotia, Christof Fetzer and Rodrigo Rodrigues. ",Friday,14:00 - 15:30,14:00-14:22,Track 26A: Semantics & Big Data (3),,,
261,From Diversity-based Prediction to Better Ontology & Schema Matching,"Avigdor Gal, Haggai Roitman and Tomer Sagi. ",Friday,,14:22-14:45,Track 26A: Semantics & Big Data (3),,,
581,The Effect of Recommendations on Network Structure,"Jessica Su, Aneesh Sharma and Sharad Goel. ",Friday,,14:45-15:07,Track 26B: Social Networks & Graph Analysis (4),,,
899,"Gender, Productivity, and Prestige in Computer Science Faculty Hiring Networks","Samuel Way, Daniel Larremore and Aaron Clauset. ",Friday,,15:07-15:30,Track 26B: Social Networks & Graph Analysis (4),,,
638,Which to View: Personalized Prioritization for Broadcast Emails,"Beidou Wang, Martin Ester, Jiajun Bu, Deng Cai, Yu Zhu and Ziyu Guan. ",Friday,14:00 - 15:30,14:00-14:22,Track 27A: Web Mining (3),,,
146,Learning-to-Rank for Real-Time High-Precision Hashtag Recommendation for Streaming News,"Bichen Shi, Georgiana Ifrim and Neil Hurley. ",Friday,,14:22-14:45,Track 27A: Web Mining (3),,,
918,Discovery of Topical Authorities in Instagram,"Aditya Pal, Amac Herdagdelen, Sourav Chatterji, Sumit Taank and Deepayan Chakrabarti.",Friday,,14:45-15:07,Track 27B: Behaviour Analysis & Personalization (4),,,
215,Did You Say U2 or Youtube? Inferring Implicit Transcripts from Voice Search Logs,"Milad Shokouhi, Umut Ozertem and Nick Craswell.",Friday,,15:07-15:30,Track 27B: Behaviour Analysis & Personalization (4),,,
254,Where Can I Buy a Boulder? Searching for Offline Retail Locations,"Sandro Bauer, Filip Radlinski and Ryen White. ",Friday,14:00 - 15:30,14:00-14:30,Track 28A: Web Search Systems & Applications (3),,,
448,Exploiting Green Energy to Reduce Operational Costs of Multi-Center Web Search Engines,"Roi Blanco, Matteo Catena and Nicola Tonellotto. ",Friday,,14:30-15:00,Track 28A: Web Search Systems & Applications (3),,,
401,Strengthening Weak Identities Through Inter-Domain Trust Transfer,"Giridhari Venkatadri, Oana Goga, Changtao Zhong, Bimal Viswanath, Krishna P. Gummadi and Nishanth Sastry.",Friday,,15:00-15:30,Track 28B: Security & Privacy (4),,,
856,Entity Disambiguation with Linkless Knowledge Bases,Yang Li.,Friday,14:00 - 15:30,14:00-14:22,Track 29A: Content Analysis (4),,,
827,Joint Recognition and Linking Fine-Grained Locations from Tweets,"Zongcheng Ji, Aixin Sun, Gao Cong and Jialong Han.",Friday,,14:22-14:45,Track 29A: Content Analysis (4),,,
453,Internet Collaboration on Extremely Difficult Problems: Research versus Olympiad Questions on the Polymath Site,"Isabel Kloumann, Chenhao Tan, Lillian Lee and Jon Kleinberg.",Friday,,14:45-15:07,Track 29B: Crowdsourcing Systems & Social Media (3),,,
539,The Communication Network Within the Crowd,"Ming Yin, Mary Gray, Siddharth Suri and Jennifer Wortman Vaughan. ",Friday,,15:07-15:30,Track 29B: Crowdsourcing Systems & Social Media (3),,,
396,An In-depth study of Mobile Browser Performance,Javad Nejati and Aruna Balasubramanian.,Friday,14:00 - 15:10,14:00-14:23,Track 30A: Mobility (2),,,
182,If WiFi APs Could Move: A Measurement Study,"Mahanth Gowda, Ashutosh Dhekne and Romit Roy Choudhury. ",Friday,,14:23-14:46,Track 30A: Mobility (2),,,
776,GoCAD: GPU-assisted Online Content Adaptive Display Power Saving for Mobile Devices in Internet Streaming,"Yao Liu, Mengbai Xiao, Ming Zhang, Xin Li, Mian Dong, Zhan Ma, Zhenhua Li and Songqing Chen.",Friday,,14:46-15:10,Track 30A: Mobility (2),,,
1054,An Empirical Analysis of Algorithmic Pricing on Amazon Marketplace,"Le Chen, Alan Mislove and Christo Wilson. ",Friday,15:10 - 15:30,15:10-15:30,Track 30B: Economics & Markets (3),,,
